instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
butcher8 classical 20 caboara-perry 14.97 2.01 0.96 1.13 11.65 34 911 5 368 221
econ7 classical 1 caboara-perry 1.67 0.90 0.34 0.12 0.61 22 553 6 111 71
f633 F4 29 static 0.67 0.00 0.00 0.09 0.53 47 1022 4 2098 191
cyclicnh4 classical 15 static 0.01 0.00 0.00 0.00 0.00 7 30 6 12 5
katsuran4 classical 7 perturbation 0.07 0.05 0.05 0.00 0.00 7 49 4 12 5
cyclicn7 F4 14 static 43.87 0.00 0.00 6.58 33.68 209 27185 12 11117 2891
econh6 F4 13 perturbation 0.23 0.09 0.08 0.03 0.08 28 346 9 617 132
katsuran7 F4 6 static 0.89 0.00 0.00 0.05 0.78 41 1923 7 1077 166
katsuranh5 classical 14 static 0.05 0.00 0.00 0.00 0.03 13 168 5 31 18
katsuran7 F4 2 perturbation 1.15 0.09 0.08 0.08 0.89 41 1923 7 1346 293
econh4 F4 9 caboara-perry 0.11 0.09 0.04 0.00 0.01 10 44 6 56 10
econh4 classical 2 static 0.01 0.00 0.00 0.00 0.00 8 34 5 14 6
cyclicnh7 F4 2 caboara-perry 145.34 112.88 3.79 0.57 30.64 160 38330 15 5999 524
katsuran6 classical 23 caboara-perry 1.28 0.85 0.32 0.06 0.32 23 593 6 72 49
econ7 F4 16 perturbation 0.47 0.08 0.08 0.07 0.27 32 747 4 1133 129
cyclicnh6 classical 1 static 4.81 0.00 0.00 0.23 4.53 99 3502 15 389 290
katsuran5 F4 3 caboara-perry 0.34 0.29 0.16 0.00 0.03 13 168 5 140 22
katsuran5 F4 6 static 0.04 0.00 0.00 0.00 0.03 13 168 5 140 22
cyclicn7 F4 10 caboara-perry 362.79 105.77 33.72 21.32 229.43 135 17053 37 50945 2794
econ7 classical 19 static 0.74 0.00 0.00 0.07 0.65 32 747 4 153 113
cyclicn5 F4 9 static 0.11 0.00 0.00 0.03 0.06 20 232 8 364 87
katsuranh7 classical 14 static 1.76 0.00 0.00 0.06 1.66 41 1923 7 169 128
f633h classical 27 perturbation 1.24 0.45 0.39 0.08 0.65 47 977 6 214 167
katsuranh5 F4 17 caboara-perry 0.44 0.39 0.16 0.01 0.03 13 169 5 155 21
fatemanh F4 9 static 0.20 0.00 0.00 0.01 0.16 27 1009 14 433 38
cyclicnh6 classical 27 perturbation 1.10 0.50 0.43 0.04 0.53 34 1540 9 102 65
