instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
katsuran7 F4 3 random 1.21 0.05 0.04 0.08 0.99 41 1923 7 1346 293
f633h F4 4 random 0.59 0.06 0.04 0.07 0.40 47 977 6 2025 282
econh7 classical 3 random NA NA NA NA NA NA NA NA NA NA
butcher8 F4 21 random 2.98 0.14 0.10 0.95 1.70 54 1796 4 2481 612
katsuran4 classical 0 random 0.06 0.04 0.03 0.00 0.00 7 49 4 12 5
econh6 classical 17 random NA NA NA NA NA NA NA NA NA NA
f633h classical 22 random 0.98 0.18 0.13 0.08 0.66 47 977 6 214 167
econ5 classical 27 random 0.12 0.09 0.07 0.01 0.01 11 82 3 28 15
cyclicn5 classical 11 random 0.45 0.19 0.15 0.03 0.20 20 232 8 113 75
cyclicn7 classical 12 random NA NA NA NA NA NA NA NA NA NA
f633h classical 18 random 0.99 0.18 0.14 0.08 0.67 47 977 6 214 167
katsuran7 F4 25 random 1.13 0.06 0.04 0.08 0.90 41 1923 7 1346 293
econ7 classical 2 random 0.95 0.15 0.12 0.07 0.69 32 747 4 153 113
econ5 F4 12 random 0.09 0.05 0.04 0.01 0.02 6 47 7 160 18
katsuran6 classical 14 random 0.42 0.15 0.11 0.02 0.23 22 528 6 70 48
cyclicn5 F4 1 random 0.31 0.10 0.08 0.08 0.10 20 232 8 600 176
econh6 classical 13 random NA NA NA NA NA NA NA NA NA NA
katsuranh5 F4 13 random 0.11 0.04 0.04 0.01 0.04 13 168 5 219 49
f633 F4 8 random 0.73 0.07 0.05 0.11 0.49 47 1022 4 2278 291
katsuranh5 F4 24 random 0.12 0.05 0.04 0.01 0.04 13 168 5 219 49
econ5 classical 24 random 0.13 0.10 0.08 0.01 0.01 11 82 3 28 15
katsuranh6 classical 11 random 0.46 0.17 0.13 0.02 0.24 22 528 6 70 48
butcher8 classical 18 random 14.45 1.03 0.75 0.66 12.59 54 1796 4 420 290
katsuran7 classical 9 random 2.65 0.72 0.64 0.07 1.81 41 1923 7 169 128
cyclicn5 classical 6 random 0.45 0.19 0.15 0.03 0.20 20 232 8 113 75
cyclicnh5 classical 7 random 0.46 0.20 0.16 0.03 0.20 38 538 13 113 75
f633h classical 23 random 1.04 0.24 0.18 0.07 0.67 45 995 8 201 156
econ4 classical 4 random 0.05 0.03 0.03 0.00 0.00 7 29 2 13 6
cyclicnh4 classical 6 random 0.05 0.03 0.03 0.00 0.00 7 30 6 12 5
katsuranh7 F4 4 random 0.99 0.05 0.04 0.08 0.75 41 1923 7 1346 293
econh5 classical 17 random 88.98 4.30 2.70 16.31 67.85 21 158 11 720 348
katsuranh4 classical 23 random 0.06 0.05 0.03 0.00 0.00 7 49 4 12 5
cyclicnh6 classical 15 random 26.82 1.36 0.87 0.59 24.65 33 1321 9 489 336
katsuranh6 classical 4 random 0.45 0.16 0.12 0.02 0.25 22 528 6 70 48
f633 classical 19 random 4.95 0.55 0.40 0.52 3.78 33 608 6 253 167
katsuran7 classical 26 random 2.27 0.35 0.27 0.07 1.80 41 1923 7 169 128
cyclicn4 F4 3 random 0.01 0.00 0.00 0.00 0.00 7 30 6 43 10
katsuran5 F4 20 random 0.11 0.05 0.04 0.01 0.04 13 168 5 219 49
econ7 F4 22 random 0.45 0.06 0.04 0.07 0.28 32 747 4 1133 129
econ7 F4 19 random 0.90 0.05 0.04 0.07 0.73 32 747 4 1133 129
cyclicn6 classical 8 random 5.38 0.68 0.50 0.25 4.36 45 1135 9 354 255
katsuranh7 F4 23 random 1.04 0.06 0.04 0.09 0.79 41 1923 7 1346 293
econh4 F4 13 random 0.06 0.05 0.04 0.00 0.00 8 34 5 31 6
econh5 F4 24 random 0.10 0.04 0.04 0.02 0.03 18 131 6 252 46
katsuranh7 classical 16 random 2.48 0.38 0.28 0.07 1.98 41 1923 7 169 128
katsuran5 classical 16 random 0.16 0.10 0.08 0.01 0.04 13 168 5 31 18
cyclicnh5 classical 9 random 0.48 0.22 0.17 0.03 0.20 38 538 13 113 75
katsuranh7 classical 15 random 2.43 0.38 0.29 0.07 1.93 41 1923 7 169 128
katsuranh7 F4 17 random 1.53 0.06 0.04 0.09 1.28 41 1923 7 1346 293
katsuran5 classical 6 random 0.16 0.10 0.08 0.00 0.03 13 168 5 31 18
katsuran6 classical 11 random 0.43 0.14 0.12 0.02 0.24 22 528 6 70 48
econ4 F4 17 random 0.05 0.04 0.04 0.00 0.00 7 29 2 37 7
katsuran4 classical 9 random 0.06 0.05 0.04 0.00 0.00 7 49 4 12 5
katsuranh6 F4 0 random 0.28 0.06 0.04 0.02 0.17 22 528 6 537 123
katsuranh7 classical 17 random 2.43 0.37 0.28 0.07 1.94 41 1923 7 169 128
cyclicnh5 classical 23 random 0.48 0.22 0.17 0.03 0.20 38 538 13 113 75
cyclicn5 classical 21 random 1.35 0.45 0.35 0.15 0.70 22 264 9 175 112
katsuran5 classical 15 random 0.16 0.10 0.08 0.01 0.04 13 168 5 31 18
katsuranh6 F4 1 random 0.28 0.06 0.04 0.02 0.16 22 528 6 537 123
cyclicn6 F4 0 random 1.32 0.13 0.10 0.41 0.64 45 1135 9 1710 497
noon7 F4 9 random 343.05 0.45 0.23 18.52 318.09 495 71153 13 116239 7864
econ6 classical 9 random 0.27 0.14 0.11 0.01 0.09 18 232 4 61 41
cyclicn7 classical 15 random 493.05 11.35 4.32 6.16 474.20 209 27185 12 2099 1625
cyclicn6 classical 25 random 5.13 0.64 0.46 0.24 4.17 45 1135 9 354 255
cyclicnh7 classical 20 random 379.75 10.29 2.82 3.65 364.48 182 37841 20 1300 951
f633h F4 0 random 0.60 0.07 0.05 0.08 0.40 47 977 6 2025 282
econ5 F4 1 random 0.08 0.05 0.04 0.01 0.02 11 84 4 143 17
cyclicn6 F4 15 random 1.74 0.12 0.09 0.41 1.08 45 1135 9 1710 497
katsuranh6 classical 14 random 0.43 0.16 0.12 0.02 0.23 22 528 6 70 48
cyclicn4 classical 9 random 0.05 0.04 0.03 0.00 0.00 7 30 6 12 5
f633 F4 4 random 0.81 0.05 0.04 0.08 0.63 36 837 6 2683 166
cyclicnh4 classical 29 random 0.05 0.03 0.03 0.00 0.00 7 30 6 12 5
econh4 F4 3 random 0.07 0.05 0.04 0.00 0.01 8 34 5 31 6
econh5 F4 20 random 0.12 0.06 0.05 0.01 0.03 15 104 7 214 50
f633h F4 28 random 0.60 0.07 0.05 0.07 0.40 47 977 6 2025 282
katsuranh7 classical 5 random 2.22 0.35 0.26 0.07 1.76 41 1923 7 169 128
f633h F4 14 random 1.06 0.06 0.04 0.08 0.87 47 977 6 2025 282
katsuranh5 classical 6 random 0.15 0.10 0.07 0.00 0.04 13 168 5 31 18
econ4 classical 14 random 0.05 0.04 0.03 0.00 0.00 7 29 2 13 6
econh5 F4 26 random 0.09 0.05 0.04 0.01 0.02 15 104 7 214 50
econ5 classical 18 random 0.12 0.09 0.07 0.01 0.01 11 82 3 28 15
cyclicn6 F4 20 random 1.24 0.11 0.08 0.41 0.60 45 1135 9 1710 497
katsuran6 classical 9 random 0.41 0.13 0.11 0.02 0.24 22 528 6 70 48
cyclicn5 F4 19 random 0.30 0.10 0.08 0.07 0.10 20 232 8 600 176
cyclicnh5 classical 4 random 0.47 0.21 0.16 0.03 0.20 38 538 13 113 75
econh4 F4 28 random 0.06 0.05 0.04 0.00 0.00 8 34 5 31 6
cyclicnh7 classical 14 random 70.85 2.23 1.08 0.79 67.41 115 28685 14 628 458
katsuranh6 F4 5 random 0.27 0.05 0.04 0.02 0.16 22 528 6 537 123
katsuranh6 F4 3 random 0.26 0.05 0.04 0.02 0.15 22 528 6 537 123
katsuran4 F4 7 random 0.07 0.04 0.04 0.00 0.01 8 58 4 98 8
econ6 classical 20 random 0.26 0.12 0.11 0.02 0.10 18 232 4 61 41
katsuranh4 classical 21 random 0.06 0.04 0.03 0.00 0.00 7 49 4 12 5
fateman F4 21 random 0.32 0.10 0.08 0.01 0.18 27 1009 14 471 51
fatemanh classical 3 random 1.90 0.40 0.31 0.12 1.33 24 857 14 167 96
cyclicn6 classical 15 random 12.45 1.07 0.75 0.49 10.76 55 1394 9 502 360
butcher8 classical 2 random 13.80 1.00 0.68 0.63 12.03 54 1796 4 420 290
cyclicn7 F4 13 random 67.43 1.14 0.40 16.07 45.63 209 27185 12 13791 4197
cyclicn5 classical 16 random 0.45 0.19 0.15 0.03 0.19 20 232 8 113 75
fatemanh classical 6 random 174.76 7.24 3.82 15.26 151.54 16 801 11 863 378
cyclicnh7 F4 5 random 58.80 0.33 0.15 7.81 46.02 443 79897 19 14430 4434
econh7 classical 18 random NA NA NA NA NA NA NA NA NA NA
cyclicnh7 F4 2 random 60.53 0.36 0.16 7.89 47.63 443 79897 19 14430 4434
econh7 classical 15 random NA NA NA NA NA NA NA NA NA NA
katsuran7 classical 15 random 2.25 0.30 0.25 0.07 1.83 41 1923 7 169 128
cyclicnh6 classical 27 random NA NA NA NA NA NA NA NA NA NA
katsuranh7 F4 2 random 1.00 0.06 0.04 0.08 0.76 41 1923 7 1346 293
cyclicnh6 F4 4 random 1.34 0.11 0.09 0.05 1.12 45 1862 13 1296 100
cyclicn7 F4 21 random 67.64 1.17 0.42 16.26 45.61 209 27185 12 13791 4197
katsuranh6 classical 28 random 0.45 0.17 0.12 0.02 0.24 22 528 6 70 48
katsuran6 classical 24 random 0.42 0.14 0.11 0.02 0.24 22 528 6 70 48
econ6 F4 7 random 0.14 0.04 0.04 0.02 0.06 18 232 4 417 46
butcher8 F4 0 random 3.11 0.14 0.10 0.95 1.83 54 1796 4 2481 612
noon7 F4 29 random 340.79 0.45 0.23 18.49 316.50 495 71153 13 116239 7864
katsuranh4 classical 25 random 0.06 0.04 0.04 0.00 0.00 7 49 4 12 5
katsuranh4 F4 22 random 0.06 0.05 0.04 0.00 0.01 7 49 4 44 6
cyclicn5 F4 13 random 0.31 0.10 0.08 0.08 0.10 20 232 8 600 176
econh4 F4 7 random 0.07 0.05 0.04 0.00 0.01 7 29 6 53 6
cyclicnh5 F4 27 random 0.26 0.11 0.08 0.03 0.08 41 519 20 491 107
econ5 F4 29 random 0.08 0.05 0.04 0.01 0.01 7 55 4 107 8
econ7 classical 1 random 0.97 0.15 0.12 0.07 0.71 32 747 4 153 113
cyclicn7 classical 24 random 494.57 11.20 4.03 6.61 475.39 209 27185 12 2099 1625
cyclicn6 classical 17 random 5.22 0.63 0.45 0.24 4.27 45 1135 9 354 255
econh6 F4 25 random 0.19 0.05 0.04 0.03 0.09 28 346 9 617 132
cyclicn6 classical 27 random 5.12 0.63 0.45 0.24 4.17 45 1135 9 354 255
econ7 F4 18 random 0.44 0.05 0.04 0.07 0.27 32 747 4 1133 129
katsuranh7 classical 10 random 2.39 0.35 0.26 0.07 1.92 41 1923 7 169 128
fatemanh F4 25 random 0.32 0.10 0.08 0.01 0.18 27 1009 14 471 51
econh6 classical 12 random NA NA NA NA NA NA NA NA NA NA
fateman F4 18 random 0.32 0.10 0.08 0.01 0.18 27 1009 14 471 51
cyclicnh4 classical 16 random 0.05 0.03 0.03 0.00 0.00 7 30 6 12 5
econ6 classical 15 random 0.24 0.12 0.10 0.01 0.09 18 232 4 61 41
katsuranh5 F4 28 random 0.11 0.05 0.04 0.01 0.04 13 168 5 219 49
econ6 F4 14 random 0.14 0.05 0.04 0.02 0.06 18 232 4 417 46
noon7 classical 13 random NA NA NA NA NA NA NA NA NA NA
katsuranh5 classical 0 random 0.15 0.09 0.07 0.00 0.03 13 168 5 31 18
cyclicnh5 classical 3 random 0.29 0.15 0.12 0.02 0.10 16 238 10 54 28
butcher8 classical 17 random 14.05 0.99 0.68 0.64 12.27 54 1796 4 420 290
fateman F4 9 random 0.31 0.10 0.08 0.01 0.17 27 1009 14 471 51
econ6 classical 21 random 0.27 0.14 0.11 0.01 0.10 18 232 4 61 41
cyclicn4 classical 12 random 0.05 0.04 0.03 0.00 0.00 7 30 6 12 5
katsuran4 F4 26 random 0.07 0.04 0.04 0.00 0.01 8 58 4 68 5
katsuran7 F4 29 random 1.32 0.05 0.04 0.08 1.09 41 1923 7 1346 293
katsuran6 classical 18 random 0.42 0.15 0.12 0.02 0.23 22 528 6 70 48
econ6 F4 25 random 0.14 0.05 0.04 0.02 0.06 18 232 4 417 46
katsuranh5 F4 23 random 0.11 0.05 0.04 0.01 0.04 13 168 5 219 49
f633h F4 2 random 0.59 0.06 0.04 0.07 0.40 47 977 6 2025 282
katsuran6 F4 19 random 0.26 0.05 0.04 0.02 0.15 22 528 6 537 123
noon7 F4 16 random 353.36 0.45 0.24 18.34 329.41 495 71153 13 116239 7864
katsuran7 classical 13 random 2.23 0.35 0.26 0.07 1.76 41 1923 7 169 128
econh7 F4 13 random 3.54 0.13 0.10 0.62 2.60 81 2254 15 4844 797
fatemanh classical 9 random 12.81 1.38 0.94 0.70 10.59 25 1257 12 325 166
f633h F4 6 random 0.59 0.06 0.04 0.07 0.40 47 977 6 2025 282
katsuranh6 F4 21 random 0.25 0.04 0.04 0.02 0.16 22 528 6 537 123
econh5 F4 25 random 0.11 0.04 0.04 0.01 0.04 19 142 10 335 64
noon7 F4 20 random 351.22 0.46 0.24 18.36 327.17 495 71153 13 116239 7864
katsuranh6 F4 24 random 0.27 0.05 0.04 0.02 0.16 22 528 6 537 123
katsuranh6 F4 26 random 0.27 0.05 0.04 0.02 0.16 22 528 6 537 123
katsuran7 classical 23 random 2.31 0.36 0.27 0.07 1.83 41 1923 7 169 128
econ6 F4 6 random 0.15 0.05 0.04 0.02 0.06 18 232 4 417 46
fatemanh F4 21 random 0.33 0.11 0.09 0.01 0.18 27 1009 14 471 51
f633 F4 14 random 1.07 0.06 0.05 0.11 0.84 47 1022 4 2278 291
katsuran7 F4 5 random 1.00 0.05 0.04 0.08 0.77 41 1923 7 1346 293
cyclicnh5 classical 17 random 0.47 0.21 0.16 0.03 0.20 38 538 13 113 75
katsuran6 classical 0 random 0.41 0.13 0.11 0.02 0.24 22 528 6 70 48
econh7 classical 19 random NA NA NA NA NA NA NA NA NA NA
butcher8 classical 4 random 14.19 1.07 0.73 0.64 12.29 54 1796 4 420 290
cyclicn5 F4 0 random 0.32 0.11 0.09 0.08 0.10 20 232 8 600 176
butcher8 classical 12 random NA NA NA NA NA NA NA NA NA NA
