instance rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
cyclicn5 16 static 0.47 0.00 0.00 0.18 0.26 20 232 8 113 75
cyclicn5 17 static 0.48 0.00 0.00 0.19 0.26 20 232 8 113 75
cyclicn5 18 static 0.61 0.00 0.00 0.23 0.34 20 232 8 113 75
cyclicn5 19 static 0.47 0.00 0.00 0.18 0.25 20 232 8 113 75
cyclicn5 20 static 0.47 0.00 0.00 0.19 0.24 20 232 8 113 75
cyclicn5 21 static 0.48 0.00 0.00 0.18 0.26 20 232 8 113 75
cyclicn5 22 static 0.62 0.00 0.00 0.23 0.34 20 232 8 113 75
cyclicn5 23 static 0.64 0.00 0.00 0.24 0.35 20 232 8 113 75
cyclicn5 24 static 0.57 0.00 0.00 0.22 0.31 20 232 8 113 75
cyclicn5 25 static 0.61 0.00 0.00 0.24 0.33 20 232 8 113 75
cyclicn5 26 static 0.62 0.00 0.00 0.25 0.33 20 232 8 113 75
cyclicn5 27 static 0.58 0.00 0.00 0.22 0.32 20 232 8 113 75
cyclicn5 28 static 0.70 0.00 0.00 0.26 0.40 20 232 8 113 75
cyclicn5 29 static 0.64 0.00 0.00 0.24 0.36 20 232 8 113 75
cyclicnh5 0 static 0.50 0.00 0.00 0.19 0.27 38 538 13 113 75
cyclicnh5 1 static 0.46 0.00 0.00 0.18 0.24 38 538 13 113 75
cyclicnh5 2 static 0.44 0.00 0.00 0.16 0.24 38 538 13 113 75
cyclicnh5 3 static 0.40 0.00 0.00 0.15 0.22 38 538 13 113 75
cyclicnh5 4 static 0.41 0.00 0.00 0.16 0.22 38 538 13 113 75
cyclicnh5 5 static 0.43 0.00 0.00 0.17 0.23 38 538 13 113 75
cyclicnh5 6 static 0.43 0.00 0.00 0.16 0.25 38 538 13 113 75
cyclicnh5 7 static 0.43 0.00 0.00 0.16 0.24 38 538 13 113 75
cyclicnh5 8 static 0.42 0.00 0.00 0.16 0.23 38 538 13 113 75
cyclicnh5 9 static 0.41 0.00 0.00 0.16 0.22 38 538 13 113 75
cyclicnh5 10 static 0.39 0.00 0.00 0.15 0.21 38 538 13 113 75
cyclicnh5 11 static 0.42 0.00 0.00 0.18 0.21 38 538 13 113 75
cyclicnh5 12 static 0.40 0.00 0.00 0.15 0.22 38 538 13 113 75
cyclicnh5 13 static 0.41 0.00 0.00 0.16 0.22 38 538 13 113 75
cyclicnh5 14 static 0.45 0.00 0.00 0.16 0.26 38 538 13 113 75
cyclicnh5 15 static 0.41 0.00 0.00 0.16 0.23 38 538 13 113 75
cyclicnh5 16 static 0.44 0.00 0.00 0.17 0.24 38 538 13 113 75
cyclicnh5 17 static 0.43 0.00 0.00 0.17 0.23 38 538 13 113 75
